id;question_id;question;a;b;c;d;correct;image;image_fallback;category_name
;1;1. Przedstawiony zapis w języku C# oznacza definicję klasy Car, która:;jest klasą bazową (nie dziedziczy po żadnej klasie);jest zaprzyjaźniona z klasą Vehicle;dziedziczy po Vehicle;korzysta z pól prywatnych klasy Vehicle;C;images/1.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/1.jpg;inf_04
;2;2. Mechanizm obietnic (ang. promises) w języku JavaScript ma na celu;zastąpić mechanizm dziedziczenia w programowaniu obiektowym.;obsłużyć przechwytywanie błędów aplikacji.;poprawić czytelność kodu synchronicznego.;obsłużyć funkcjonalność związaną z kodem asynchronicznym.;D;;;inf_04
;3;3. Zapisane w kodzie szesnastkowym składowe RGB koloru #AA41FF po przekształceniu do kodu dziesiętnego wynoszą kolejno;160, 64, 255;160, 65, 255;170, 64, 255;170, 65, 255;D;;;inf_04
;4;4. Oznaczeniem komentarza jednoliniowego w języku Python jest:;#;!;"""""";//;A;;;inf_04
;5;5. Aplikacje Web wykonane we frameworku Angular lub bibliotece React i działające na domyślnych ustawieniach portów można uruchomić na lokalnym serwerze, wpisując w przeglądarce;localhost:8000 (React) lub localhost:49887 (Angular);localhost:8080 (React) lub localhost:8000 (Angular);localhost:3000 (React) lub localhost:4200 (Angular);localhost:5001 (React) lub localhost:8080 (Angular);C;;;inf_04
;6;6. Co można powiedzieć o metodach klasy Point?;Są przeładowane (przeciążone).;Zawierają błąd, gdyż nazwy metod muszą się różnić.;Zawierają przeładowanie (przeciążenie) operatora.;Pełnią funkcję konstruktorów w zależności od liczby parametrów.;A;images/6.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/6.jpg;inf_04
;7;7. Aby zaprojektować zestaw danych do zainicjowania algorytmu sortowania bąbelkowego tablicy, należy zastosować przynajmniej typy:;jeden tablicowy, dwa liczbowe do kontroli pętli, jeden do zamiany elementów miejscami;jeden tablicowy, jeden liczbowy do kontroli pętli, dwa do zamiany elementów miejscami;dwa tablicowe, jeden liczbowy do kontroli pętli;dwa tablicowe, dwa do zamiany elementów miejscami;A;;;inf_04
;8;8. Utworzenie procedury składowej o nazwie dodajUsera w MS SQL rozpoczyna się od poleceń;add dodajUsera procedure;create procedure dodajUsera;create dodajUsera procedure;add procedure dodajUsera;B;;;inf_04
;9;9. Okna dialogowe niemodalne służą do;kontrolowania stanu aplikacji poprzez systemy menu.;blokowania działania aplikacji na czas wprowadzenia i zatwierdzenia danych.;kontrolowania ustawień aplikacji, jako okno pozostające otwarte na ekranie przez cały czas trwania aplikacji.;wyświetlania komunikatów z koniecznością ich potwierdzenia, aby dalej kontynuować działanie aplikacji.;C;;;inf_04
;10;10. Na podstawie opisu umieszczonego w ramce, wskaż który rysunek przedstawia element odpowiadający klasie Badge zdefiniowanej w bibliotece Bootstrap:;A;B;C;D;B;images/10.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/10.jpg;inf_04
